n,country,code,region,ims_2005,ims_2010,ims_2015,nmi_2012,nmi_2017,swm_2015,swm_2019,lngdppc_2005,lngdppc_2010,lngdppc_2015,lngdppc_2016,lngdppc_2017,lngdppc_2018,lngdppc_2019,geduc_2005,geduc_2010,geduc_2015,geduc_2016,geduc_2017,geduc_2018,geduc_2019,unem_2005,unem_2010,unem_2015,unem_2016,unem_2017,unem_2018,unem_2019,edb_2019,timebuss_2005,timebuss_2010,timebuss_2015,timebuss_2016,timebuss_2017,timebuss_2018,timebuss_2019,gef_2005,gef_2010,gef_2015,gef_2016,gef_2017,gef_2018,gef_2019,psa_2005,psa_2010,psa_2015,psa_2016,psa_2017,psa_2018,psa_2019,req_2005,req_2010,req_2015,req_2016,req_2017,req_2018,req_2019,rlw_2005,rlw_2010,rlw_2015,rlw_2016,rlw_2017,rlw_2018,rlw_2019,vacc_2005,vacc_2010,vacc_2015,vacc_2016,vacc_2017,vacc_2018,vacc_2019,cci_2005,cci_2010,cci_2015,cci_2016,cci_2017,cci_2018,cci_2019,efi_2005,efi_2010,efi_2015,efi_2016,efi_2017,efi_2018,efi_2019,ecfif_2005,ecfif_2010,ecfif_2015,ecfif_2016,ecfif_2017,ecfif_2018,pw,ind,msc,una,lto,idu,inmp_lower05,inmp_raise05,inmp_lower09,inmp_raise09,inmp_lower15,inmp_raise15,retp_yes15,pop_2005,lgpop_2005,pop_2010,lgpop_2010,pop_2014,pop_2015,lgpop_2015,pop_2017,pop_2018,pop_2019,p1564_2005,p1564_2010,p1564_2015,p1564_2016,p1564_2017,p1564_2018,p1564_2019,namerica,easia,ecasia,africame,sasia,ssafrica,asia,europe,africa,pacific,langpr,langfr,infl_2005,infl_2010,infl_2012,infl_2013,infl_2014,infl_2015,infl_2016,infl_2017,infl_2018,infl_2019,islam,unaff,hinduism,relgothers,govfcexp_2015,govfcexp_2016,govfcexp_2017,govfcexp_2018,govfcexp_2019,currenthexp_2015,currenthexp_2016,currenthexp_2017,currenthexp_2018,democracy_2005,demcr_high05,democracy_2010,demcr_high10,democracy_2015,demcr_high15,hief_2005,hief_2010,hief_2013,agedem_2015,mwg_2010,ppp_2005,ppp_2006,ppp_2007,ppp_2008,ppp_2009,ppp_2010,ppp_2011,ppp_2012,ppp_2013,ppp_2014,ppp_2015,ppp_2016,ppp_2017,ppp_2018,ppp_2019,more_demreg,oilrent_2005,oilrent_2010,oilrent_2015,refugpop05,refugpop10,refugpop15,lgrefug_2005,lgrefug_2010,lgrefug_2015,gexp_imf05,gexp_imf10,gexp_imf15,vulemp_2005,vulemp_2010,vulemp_2015,primenr_2005,primenr_2010,primenr_2015,seconer_2005,seconer_2010,seconer_2015,tertenr_2005,tertenr_2010,tertenr_2015,natresour_05,natresour_10,natresour_15,natdis_2005,natdis_2010,natdis_2015,cpi_2015,cpi_2018,life_expb05,life_expb10,life_expb15,rcatexp_sg05,rcatexp_sg10,rcatexp_sg15,contrprev_05,contrprev_10,contrprev_15,ginirank,ginival,tour_arr2005,tour_arr2010,tour_arr2015,richoil_2015,remrec_2015
1,Afghanistan,AFG,South Asia,0.357787648,0.365657832,1.175546927,521769,-314602,54.9,55,7.159908751,7.579182959,7.634465808,7.62903411,7.629676406,7.617650919,7.632903131,NA,3.479449987,3.255800009,4.228360176,4.058869839,NA,NA,11.4289999,11.48400021,11.38700008,11.38700008,11.18400002,11.05700016,11.11800003,173,9.5,9.5,8.5,8.5,8.5,8.5,8.5,-1.210829,-1.454683,-1.322968,-1.226363,-1.33461,-1.457285,-1.463875,-2.070934,-2.579152,-2.571222,-2.671054,-2.800609,-2.751611,-2.649407,-1.637369,-1.532861,-0.9973711,-1.327688,-1.339227,-1.130191,-1.120555,-1.658668,-1.845436,-1.50404,-1.49819,-1.569692,-1.668021,-1.713527,-1.12543,-1.404468,-1.117563,-1.037838,-0.9904761,-0.9929534,-0.9880323,-1.443609,-1.635723,-1.341994,-1.526352,-1.517361,-1.496834,-1.401076,NA,N/A,NA,NA,48.9,51.3,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,25654277,17.06022086,31161376,17.18918281,33370794,34413603,17.35396248,36296400,37172386,38041754,49.91287028,49.49372303,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344,0,0,0,0,1,0,1,0,0,0,0.006,2,12.68626872,2.178537524,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,1,0,0,0,NA,NA,NA,NA,NA,10.10534763,10.96199989,11.77723598,9.39572716,NA,NA,NA,NA,-1,0,74.4,75.7,76.3,0,258.23,11.742,12.268,13.03,14.897,14.386,15.371,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.948,0,0.02597038,0.004973969,0.00107623,31,6434,257553,3.433987204,8.769351708,12.4589808,15.698,20.801,25.947,91.71999741,87.82999992,82.38000107,98.09989166,100.0717087,103.534523,18.61680984,50.5672493,51.66994858,NA,NA,NA,0.384138015,0.587141123,0.482763042,561.0000677,349.9999974,191.9999994,11,16,58.29,61.028,63.377,NA,NA,NA,13.6,21.8,22.5,NA,NA,NA,NA,NA,0,1.751257176
2,Albania,ALB,Europe & Central Asia,2.100434369,1.818956864,1.98903641,-136590,-69998,36.9,39.6,9.012910865,9.303230569,9.403101536,9.437310838,9.475547516,9.517920904,9.54433447,3.281549931,NA,3.437969923,3.962090015,3.611720085,NA,NA,16.45999908,14.08600044,17.07999992,17.07999992,13.75,12.34000015,12.33100033,82,41,6,5,5,5,4.5,4.5,-0.6594524,-0.2827555,0.0102911,0.0132704,0.0837741,0.114788,-0.0613309,-0.5071405,-0.1914829,0.3461291,0.3446447,0.3783687,0.3783375,0.1185695,-0.3718735,0.2294774,0.1866678,0.1890221,0.223032,0.2684412,0.2743798,-0.7363358,-0.407376,-0.3282292,-0.3288673,-0.401743,-0.3923339,-0.4111794,0.0036718,0.1238216,0.1571486,0.1709267,0.2033271,0.2076107,0.1518047,-0.7861931,-0.5250779,-0.4790328,-0.405266,-0.4183151,-0.5219214,-0.5287576,57.8,66,65.7,65.9,64.4,64.5,66.5,7.13,7.4,7.7,NA,7.7,7.8,90,20,80,70,61,15,0,0,0,0,0,0,1,3011487,14.91794453,2900401,14.88470124,2889104,2880703,14.87354492,2873457,2866376,2854191,64.9983964,66.89951198,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,0,0,1,0,0,0,0,1,0,0,NA,1,2.366581957,3.622335411,2.03159594,1.937617549,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1,0,0,0,11.11066552,11.26929392,11.49837285,11.29359588,11.52394291,4.89632177,4.91601992,5.01059723,5.26271439,9,1,9,1,9,1,12.4,13.3,13.9,19,331.43,40.363,40.148,40.813,41.682,42.367,43.761,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.812,40.242,1,0.924210366,1.499439836,1.352409002,53,75,109,3.970291914,4.317488114,4.691347882,28.892,29.387,30.377,56.88999939,55.12999916,56.46000099,100.6760406,93.49047089,105.5429764,77.90939331,88.10388947,97.38848114,23.18983078,44.54925156,62.00762177,1.049983524,2.033735669,1.821391996,3.000000001,1.999999976,1,36,36,75.228,76.562,78.025,NA,NA,NA,60.1,NA,NA,142,29,13.52515826,14.59986862,15.14629221,0,11.33644445
3,Algeria,DZA,Middle East & North Africa,0.744071903,0.67977278,0.611072023,-143268,-50002,71.1,72.4,9.25959302,9.302983831,9.367084579,9.3780697,9.370536401,9.362391233,9.351019901,NA,NA,NA,NA,NA,NA,NA,15.27000046,9.960000038,11.20600033,11.20600033,11.99600029,11.88199997,11.70400047,157,22,22,18,18,18,18,18,-0.4675675,-0.4795416,-0.5008814,-0.5311597,-0.5891593,-0.4439246,-0.5161746,-0.9152133,-1.259368,-1.09016,-1.097526,-0.9156688,-0.8265918,-1.003575,-0.3833986,-1.171034,-1.173605,-1.171879,-1.196304,-1.26254,-1.303379,-0.7508321,-0.7849475,-0.8639446,-0.857401,-0.8639383,-0.7752355,-0.8154638,-0.715686,-1.022338,-0.8490652,-0.8628893,-0.9037489,-0.9816775,-1.037679,-0.482172,-0.5248498,-0.6455669,-0.6778925,-0.6017423,-0.6301624,-0.6218498,53.2,56.9,48.9,50.1,46.5,44.7,46.2,5.3,5.13,4.94,5.26,4.98,4.97,80,35,35,70,26,32,0,0,0,0,0,0,1,33149724,17.31654495,37383887,17.39840305,38923687,39728025,17.49756742,41389198,42228429,43053054,65.8877914,67.26101388,65.42884525,64.85756642,64.18320494,63.48882487,62.89684351,0,0,0,1,0,0,0,0,1,0,0.045,19,1.382446567,3.911061955,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,1,0,0,0,21.56035951,20.88986166,18.95038779,17.15259408,16.94609928,6.97849178,6.60778189,6.38032866,6.2184267,2,1,2,1,2,1,36.2,36.8,37.2,0,482.23,19.978,21.44,22.22,25.143,22.16,25.432,29.476,32.593,33.43,34.04,35.011,37.156,38.856,40.812,39.666,0,29.03639681,23.37738037,12.84706619,94104,94141,94176,11.45215583,11.45254894,11.45292065,27.108,37.251,45.811,28.33999968,29.22000003,26.98999906,107.5860977,115.3375778,115.8778381,78.98921204,96.93727875,NA,20.87285995,29.88942909,36.78131866,33.12085813,26.91391542,16.3116061,21.99999998,0,11.99999998,36,35,73.072,74.938,76.09,19.8,16.6,7.6,NA,NA,NA,148,27.6,14.18223484,14.54305917,14.35200393,0,1.200634501
4,American Samoa,ASM,East Asia & Pacific,40.99159294,42.33769502,41.80200943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2305025,0.4928478,0.4874166,0.5313401,0.5605542,0.5514148,0.5425926,0.7464869,0.9191467,1.181357,1.193236,1.218604,1.202961,1.16038,0.3719929,0.3956605,0.1724523,0.1366879,-0.2539806,-0.2859632,-0.2996051,1.11975,1.117741,1.34524,1.340423,1.357684,1.363119,1.335098,0.6543325,0.9882845,NA,NA,NA,NA,NA,0.7969421,0.3329735,1.218502,1.228779,1.840552,1.845798,1.843883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,59562,10.99477307,55667,10.93451669,55791,55812,10.92974418,55620,55465,55312,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1064284,10.0475879,9.918376165,0,NA
5,Andorra,AND,Europe & Central Asia,61.92580919,61.66028975,59.7136492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.644970059,2.976629972,3.28034997,3.237070084,3.217089891,3.246720076,3.151619911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.292862,1.518033,1.787205,1.860587,1.937282,1.944976,1.908749,1.384696,1.278272,1.391288,1.413419,1.421572,1.423969,1.615139,1.360657,1.391692,0.9129404,0.8714429,1.207127,1.193829,1.228176,0.9762172,1.204553,1.575988,1.577925,1.60133,1.606789,1.579939,1.528182,1.324309,1.194477,1.176598,1.160519,1.069697,1.139154,1.278153,1.308072,1.218502,1.228779,1.242228,1.238797,1.234392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,78867,11.27551817,82427,11.34390308,79213,78011,11.26460512,77001,77006,77142,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,6.23245335,6.34349346,6.54431868,6.71033096,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.69845131,14.40773182,14.79496386,NA,NA
6,Angola,AGO,Sub-Saharan Africa,0.342372571,0.36074065,0.42700468,166267,32066,73.9,73,8.733952056,8.947992607,8.991737821,8.931815926,8.897121902,8.844120817,8.805424957,2.120110035,3.421319962,NA,NA,NA,NA,NA,3.799999952,9.430000305,7.282000065,7.282000065,7.118999958,7.019000053,6.886000156,177,83,66,36,36,36,36,36,-1.137153,-1.117896,-1.000103,-1.035903,-1.025313,-1.052086,-1.117144,-0.8875439,-0.2261823,-0.5008978,-0.3158988,-0.3316221,-0.3166307,-0.3111005,-1.257796,-1.035929,-0.9091855,-1.00138,-1.044177,-0.8750386,-0.8938714,-1.427661,-1.265287,-1.081932,-1.08732,-1.10426,-1.047832,-1.054343,-1.234719,-1.120539,-1.177248,-1.1396,-1.096926,-0.9183374,-0.7772832,-1.296139,-1.32573,-1.394778,-1.439703,-1.412506,-1.144679,-1.054683,NA,48.4,47.9,48.9,48.5,48.6,50.6,4.25,5.39,5.64,5.39,4.86,4.75,83,18,20,60,15,83,NA,NA,NA,NA,0,0,0,19433602,16.78251419,25107931,16.966375,26941779,27884381,17.14357727,29816748,30809762,31825295,50.58962307,50.59763029,50.61516696,50.68562911,50.80778714,50.97470164,51.17863322,0,0,0,0,0,1,0,0,1,0,0.029,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,16.43283225,13.88068207,12.93582152,10.47454474,10.32928014,2.60579467,2.71314979,2.79150295,2.54900527,-2,0,-2,0,-2,0,77.7,77.8,77.9,0,NA,34.425,39.133,39.751,46.546,38.451,50.053,64.606,65.682,66.019,65.001,68.182,80.779,92.952,121.419,146.641,0,44.4458947,38.54358291,10.29488886,13978,15142,15547,9.545239944,9.625227619,9.651622973,26.527,39.394,27.051,59.77000046,66.41999912,71.14999962,NA,105.7810364,113.4779587,NA,26.25922012,NA,2.438920021,NA,8.400939941,45.01958262,39.0141728,10.77240375,0,25.00000005,73.99999985,15,19,50.165,55.35,59.398,63.1,27.2,36.4,NA,NA,NA,45,42.7,12.25486281,12.95984445,13.29126191,0,0.009565679
7,Antigua and Barbuda,ATG,Latin America & Caribbean,29.96548174,30.27753259,30.58550611,943,0,79.5,81.5,9.887492099,9.809505685,9.830652572,9.873953938,9.895459218,9.957776772,9.994706876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,26,22,22,22,22,22,19,0.453247,0.4928478,0.227459,0.2654906,0.009863,-0.0060096,-0.0038697,0.8303484,0.9049994,1.004725,0.8786072,0.7478715,0.8480138,0.959709,0.587315,0.6446683,0.3740782,0.3414612,0.2512497,0.4142161,0.4853747,0.6685986,0.9592275,0.5898856,0.5088418,0.4432826,0.4148062,0.4052047,0.5331801,0.495849,0.5949928,0.6336627,0.6078389,0.5996279,0.7604436,0.7499956,1.308072,0.6896325,0.6937485,0.2420847,0.2766874,0.2778982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,81465,11.30792876,90409,11.38541022,92562,93566,11.44642235,95426,96286,97118,66.51199902,68.30213114,69.26875147,69.23207126,69.19288244,69.11908273,68.99030046,0,0,0,0,0,0,0,0,0,0,0.053,56,2.098751967,3.370025402,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,NA,0,0,0,0,16.2285575,15.61057858,15.90749683,16.39423687,NA,5.27965546,5.12190151,5.17094231,5.23155928,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1.673,1.63,1.647,1.686,1.703,1.709,1.691,1.829,1.854,1.915,2.04,2.06,2.094,2.09,2.057,0,0,0,0,NA,NA,15,NA,NA,2.708050201,24.105,22.563,26.704,NA,NA,NA,NA,112.2929611,104.9906235,NA,112.7958298,108.2302322,NA,16.72623062,NA,0,0,0,0,0,0,NA,NA,75.019,75.823,76.483,NA,NA,NA,NA,NA,NA,NA,NA,12.40901349,12.34583459,12.4292162,0,2.337441865
8,Argentina,ARG,Latin America & Caribbean,4.274024817,4.380958388,4.805292335,30000,24000,68.9,70,9.874390131,10.0656604,10.08305058,10.05145605,10.06887985,10.03273346,10.00169827,3.860009909,5.019710064,5.776110172,5.545489788,5.462230206,NA,NA,11.50599957,7.714000225,7.75,7.75,8.347000122,9.220000267,9.788999557,126,29.5,24.5,24.5,24.5,24.5,11,11.5,-0.1242145,-0.16279,-0.0750081,0.1621292,0.149542,0.0259878,-0.0864859,-0.0417681,-0.0847979,0.0147854,0.2046255,0.1694364,0.0192217,-0.1199785,-0.5483672,-0.7623686,-0.9114419,-0.4696253,-0.2911722,-0.2856962,-0.4927526,-0.5546548,-0.590509,-0.770812,-0.3936059,-0.2456109,-0.2428666,-0.4307256,0.2692317,0.3616894,0.4117875,0.4933509,0.5279635,0.5616491,0.6004349,-0.3881924,-0.3614692,-0.5470577,-0.2840413,-0.2559502,-0.0702693,-0.0710714,51.7,51.2,44.1,43.8,50.4,52.3,52.2,6.08,5.82,5.17,5.55,5.98,5.78,49,46,56,86,20,62,0,0,0,1,0,0,1,38892931,17.47632307,41733271,17.52390958,42669500,43131966,17.57977495,44044811,44494502,44938712,62.82861017,63.76901689,64.06001976,64.06056661,64.08352251,64.12127729,64.16136585,0,0,0,0,0,0,0,0,0,0,0.059,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,18.09837976,17.65457819,17.69689392,16.38048761,15.771007,10.22933769,9.00189686,10.45704365,9.62454033,8,1,8,1,9,1,13.9,15.1,15.8,33,NA,1.104,1.219,1.364,1.648,1.887,2.256,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.024,20.753,0,4.673900929,2.355276183,0.736965842,3051,3257,3187,8.023224685,8.088561805,8.066835314,24.426,33.358,41.366,21.27999997,19.05000043,20.43000036,115.2991486,116.9757614,111.3034134,92.76067352,99.50125885,106.9464722,63.96667099,73.23139954,84.0019989,5.678006643,3.466662039,1.356256493,14,6.999999992,17,32,40,74.451,75.278,76.068,15,4.2,1.7,78.9,NA,NA,53,41.2,15.15654601,15.48792327,15.56227266,0,0.083133102
9,Armenia,ARM,Europe & Central Asia,15.55993084,7.476305013,6.335892888,-30535,-24989,59.6,60.3,8.911914628,9.136282681,9.334446111,9.3328298,9.402204339,9.450534389,9.521769454,2.712029934,3.249000072,2.80591011,2.75812006,2.707590103,NA,NA,10.39299965,19.00799942,18.26099968,18.26099968,17.70499992,17.49600029,16.98999977,47,18,14,5,5,5,4,4,-0.139913,-0.1838435,-0.1608088,-0.1581753,-0.1043894,-0.0243394,-0.0668174,-0.067535,0.0718553,-0.2523326,-0.6622638,-0.6206948,-0.4359334,-0.5064107,0.0834767,0.3094823,0.2418069,0.2500556,0.2804864,0.3313852,0.2495153,-0.4002492,-0.4886399,-0.387853,-0.1191296,-0.1555746,-0.150221,-0.1312758,-0.5913633,-0.847555,-0.5362936,-0.5792814,-0.5607514,-0.1132657,0.0500427,-0.6741413,-0.6963042,-0.5338237,-0.5719545,-0.5604638,-0.3491441,-0.1841683,69.8,69.2,67.1,67,70.3,68.7,67.7,7.58,7.69,7.8,7.73,7.85,7.92,85,22,50,88,61,25,0,1,0,1,0,0,1,2981269,14.90785961,2884229,14.87236952,2912403,2925553,14.88899408,2944809,2951776,2957731,66.63853547,69.54546924,69.04257075,68.7610583,68.44896633,68.11276042,67.75038027,0,0,1,0,0,0,1,0,0,0,NA,1,0.638928002,8.176361385,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,0,0,0,0,13.11159781,13.45415852,12.31855199,11.48669032,12.47208949,10.1176281,9.95195866,10.36270523,10.02538967,5,1,5,1,5,1,6.5,5.1,4.5,0,189.02,137.942,140.076,142.185,147.76,150.392,160.209,163.65,157.964,159.846,165.186,172.924,161.229,155.971,156.523,156.053,0,0,0,0,219547,3292,19314,12.29932161,8.099250562,9.868585501,19.871,26.201,26.331,46.28000069,42.61999893,41.88999939,95.44106293,99.06498718,95.00364685,92.05428314,104.7133179,86.00588989,39.54676819,52.989151,46.52180099,0.901240752,2.992128557,4.016503356,0,1.241965876,0,35,35,72.626,73.331,74.467,43.1,42.7,42,53.1,54.9,NA,114,33.6,12.67294638,13.4357132,13.99114313,0,14.13274122
10,Aruba,ABW,Latin America & Caribbean,32.52991573,33.78741498,34.76210186,1253,1004,NA,NA,10.56996215,10.43240711,10.52610712,10.54181348,10.55691666,NA,NA,4.68132019,6.929269791,5.975709915,5.524149895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.292862,1.251719,0.8835687,0.8932294,0.9177416,1.058392,1.029933,1.379847,1.100847,1.230921,1.284199,1.334757,1.362981,1.357372,0.8663251,1.347078,1.371496,1.347553,1.191759,0.8566312,0.8573601,0.8572026,1.422983,1.261027,1.261745,1.330984,1.296759,1.263128,1.15323,1.281884,1.273942,1.279368,1.29432,1.306017,1.294189,1.278153,1.127209,1.297111,1.285848,1.291658,1.252211,1.217238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100031,11.51323542,102560,11.52947772,103774,104341,11.55541966,105366,105845,106314,69.93532005,68.83809224,69.1597742,69.13761538,68.94633943,68.64660589,68.32119947,0,0,0,0,0,0,0,0,0,0,NA,4,3.397786778,2.078140719,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,0,0,0,0,17.04936854,16.78282162,16.68799123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225,1.224,1.26,1.295,1.32,1.291,1.303,1.318,1.285,1.309,1.362,1.355,1.351,1.371,1.375,0,0,0,0,NA,NA,NA,NA,NA,NA,24.782,31.247,27.932,NA,NA,NA,NA,NA,NA,95.9417572,95.82353973,NA,31.68346977,37.34572983,15.27176952,0.0006534,0.002361284,0.002423296,NA,NA,NA,NA,NA,74.287,75.017,75.725,NA,NA,NA,NA,NA,NA,NA,NA,13.50490098,13.62192581,14.0184514,0,0.276881879
11,Australia,AUS,East Asia & Pacific,24.0601862,26.54431424,28.21840969,989375,791229,70.3,70,10.65855129,10.72220497,10.77932057,10.7910308,10.79693103,10.81063628,10.81685582,4.910299778,5.550059795,5.311270237,5.276780128,5.124249935,NA,NA,5.032000065,5.210999966,6.053999901,6.053999901,5.59100008,5.297999859,5.268000126,14,3,2.5,2.5,2.5,2.5,2.5,2,1.751213,1.768756,1.564534,1.568509,1.535514,1.596495,1.571896,0.8935112,0.8888599,0.8849798,1.047958,0.8900895,1.002703,1.086503,1.600643,1.698415,1.788684,1.896966,1.930234,1.903537,1.873539,1.724451,1.764966,1.825212,1.755521,1.681837,1.714284,1.734145,1.507056,1.419766,1.355591,1.353702,1.3857,1.428863,1.315125,1.952358,2.031455,1.882113,1.816115,1.79507,1.80646,1.811107,79,82.6,81.4,80.3,81,80.9,80.9,8.1,8.1,8.1,8.16,8.18,8.23,38,90,61,51,21,71,0,1,0,0,0,0,0,20394800,16.83079052,22733465,16.90799515,23475686,23815995,16.98586797,24601860,24982688,25364307,67.31412183,67.59110796,66.25804941,65.90657302,65.5309417,65.15290773,64.80335154,0,1,0,0,0,0,0,0,0,1,0.053,56,2.691831683,2.918340027,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0,0,0,0,18.0607423,18.65685482,18.61350419,18.68692388,19.00849089,9.32331181,9.20071316,9.20544815,9.28459835,10,1,10,1,10,1,19.4,24.1,27.6,115,1589.67,1.313,1.339,1.361,1.419,1.414,1.473,1.511,1.54,1.447,1.452,1.474,1.45,1.466,1.463,1.482,1,0.934405067,0.775822306,0.20670982,64955,21790,36917,11.08145,9.989206428,10.51642743,34.691,37.033,37.336,12.19999966,11.53000024,10.86000012,102.7393188,105.6194305,101.5999069,NA,NA,157.1676636,NA,NA,118.6108627,5.386166868,9.791839422,5.261460802,4,4.999999996,8.999999994,79,77,80.84146341,81.69512195,82.4,0.7,0.6,0.6,72.3,NA,NA,93,35.8,15.52007682,15.57164285,15.8229189,0,0.16088341
12,Austria,AUT,Europe & Central Asia,13.798295,15.20488714,17.46572625,267172,324998,77.4,77.9,10.81201294,10.86055333,10.8802342,10.8891193,10.90588559,10.92648884,10.93645109,5.249370098,5.700479984,5.456580162,5.484350204,5.358039856,NA,NA,5.627999783,4.820000172,5.72300005,5.72300005,5.499000072,4.84800005,4.673999786,27,25,25,22,21,21,21,21,1.684595,1.841763,1.479127,1.511905,1.461261,1.453342,1.490911,1.105386,1.152648,1.143079,0.9096388,1.046604,0.909404,0.9801227,1.606079,1.452815,1.403266,1.440436,1.437395,1.532049,1.459116,1.859191,1.8003,1.855247,1.814967,1.812473,1.87477,1.883051,1.378657,1.430291,1.383533,1.337481,1.342785,1.380758,1.326599,1.92206,1.585462,1.519276,1.548537,1.526029,1.596492,1.545429,68.8,71.6,71.2,71.7,72.3,71.8,72,7.87,7.77,7.81,7.76,7.75,7.8,11,55,79,70,60,63,0,0,0,0,0,1,1,8227829,15.92303275,8429991,15.93937608,8546356,8642699,15.97222548,8797566,8840521,8877067,67.83092329,67.48495145,67.03954297,66.9201963,66.81250731,66.70048591,66.56253608,0,0,1,0,0,0,0,1,0,0,0.012,3,2.299138822,1.81353628,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367,2.081268583,1.998381877,1.530895534,0,0,0,0,19.76169058,19.65110116,19.49035155,19.33402133,19.44819859,10.36746693,10.3522625,10.38262367,10.32559872,10,1,10,1,10,1,20.5,23.2,24.8,70,NA,0.84,0.83,0.827,0.827,0.836,0.833,0.831,0.814,0.797,0.799,0.799,0.777,0.77,0.765,0.765,1,0.05526779,0.064100432,0.032460639,21212,42613,72198,9.962322338,10.65991465,11.18716762,51.154,52.835,51.027,8.339999795,9.0400002,8.490000129,100.8326187,99.78977966,101.9974823,100.3533478,98.80721283,100.3209991,NA,75.6237793,80.71942139,0.152126688,0.235936467,0.134073998,27.00000055,24.00000055,18.00000024,76,76,79.33170732,80.5804878,81.1902439,0.2,0.3,0.4,NA,NA,NA,137,30.5,16.80883995,16.90673481,17.10122226,0,0.749993472
